Episode_Start,Episode_End,Crash_Risk_Days,Worst_10D_Drawdown,Max_Probability_Before_Start,First_Warning_Date,Warning_Lead_Trading_Days,First_High_Risk_Date,High_Risk_Lead_Trading_Days
2022-01-11,2022-01-14,4,-0.0845981198535265,0.579066919009064,2021-11-30,29.0,,
2022-02-09,2022-02-09,1,-0.0788458621465967,0.7208412472431784,2022-01-11,20.0,2022-01-31,7.0
2022-04-19,2022-04-20,2,-0.0740170875076571,0.7985136913773826,2022-03-09,28.0,2022-03-09,28.0
2022-04-25,2022-04-25,1,-0.0709663879586117,0.7409820279660386,2022-03-11,30.0,2022-03-11,30.0
2022-04-28,2022-04-28,1,-0.0833632470845481,0.7520688891357623,2022-03-16,30.0,2022-04-06,15.0
2022-05-04,2022-05-04,1,-0.0875523519010649,0.789136438002457,2022-03-22,30.0,2022-04-06,19.0
2022-05-27,2022-06-09,9,-0.1221143899313161,0.8065296116012028,2022-04-14,30.0,2022-04-25,24.0
2022-08-16,2022-08-19,4,-0.0767414026968802,0.5289808518637223,2022-07-05,30.0,,
2022-09-09,2022-09-14,4,-0.110784593234594,0.7224840708237323,2022-07-28,30.0,2022-08-31,6.0
2022-09-16,2022-09-20,3,-0.0805842687991554,0.7444278666066407,2022-08-26,14.0,2022-08-31,11.0
2025-02-28,2025-02-28,1,-0.0727147502676547,0.2612558676351204,,,,
2025-03-21,2025-04-03,10,-0.137429114838758,0.6403479754182438,2025-03-18,3.0,2025-03-21,0.0
