Threshold,Precision,Recall,F1,TP,FP,FN,TN
0.05,0.038058991436726926,0.975609756097561,0.07326007326007326,40,1011,1,133
0.06,0.041109969167523124,0.975609756097561,0.07889546351084813,40,933,1,211
0.07,0.043243243243243246,0.975609756097561,0.08281573498964803,40,885,1,259
0.08,0.0455607476635514,0.9512195121951219,0.08695652173913043,39,817,2,327
0.09,0.04791154791154791,0.9512195121951219,0.0912280701754386,39,775,2,369
0.1,0.04954367666232073,0.926829268292683,0.09405940594059406,38,729,3,415
0.11,0.052486187845303865,0.926829268292683,0.09934640522875816,38,686,3,458
0.12,0.05604719764011799,0.926829268292683,0.10570236439499305,38,640,3,504
0.13,0.05674846625766871,0.9024390243902439,0.10678210678210678,37,615,4,529
0.14,0.05787781350482315,0.8780487804878049,0.1085972850678733,36,586,5,558
0.15,0.06020066889632107,0.8780487804878049,0.11267605633802817,36,562,5,582
0.16,0.0627177700348432,0.8780487804878049,0.11707317073170732,36,538,5,606
0.17,0.06352087114337568,0.8536585365853658,0.11824324324324324,35,516,6,628
0.18,0.06666666666666667,0.8536585365853658,0.12367491166077739,35,490,6,654
0.19,0.07,0.8536585365853658,0.12939001848428835,35,465,6,679
0.2,0.07337526205450734,0.8536585365853658,0.13513513513513514,35,442,6,702
0.21,0.07743362831858407,0.8536585365853658,0.14198782961460446,35,417,6,727
0.22,0.08177570093457943,0.8536585365853658,0.14925373134328357,35,393,6,751
0.23,0.0851581508515815,0.8536585365853658,0.15486725663716813,35,376,6,768
0.24,0.08974358974358974,0.8536585365853658,0.16241299303944315,35,355,6,789
0.25,0.09433962264150944,0.8536585365853658,0.16990291262135923,35,336,6,808
0.26,0.09523809523809523,0.8292682926829268,0.1708542713567839,34,323,7,821
0.27,0.09883720930232558,0.8292682926829268,0.17662337662337663,34,310,7,834
0.28,0.10397553516819572,0.8292682926829268,0.18478260869565216,34,293,7,851
0.29,0.10725552050473186,0.8292682926829268,0.18994413407821228,34,283,7,861
0.3,0.1111111111111111,0.8292682926829268,0.19596541786743515,34,272,7,872
0.31,0.11333333333333333,0.8292682926829268,0.19941348973607037,34,266,7,878
0.32,0.11724137931034483,0.8292682926829268,0.2054380664652568,34,256,7,888
0.33,0.12056737588652482,0.8292682926829268,0.21052631578947367,34,248,7,896
0.34,0.12639405204460966,0.8292682926829268,0.21935483870967742,34,235,7,909
0.35,0.1297709923664122,0.8292682926829268,0.22442244224422442,34,228,7,916
0.36,0.13654618473895583,0.8292682926829268,0.23448275862068965,34,215,7,929
0.37,0.14166666666666666,0.8292682926829268,0.24199288256227758,34,206,7,938
0.38,0.1391304347826087,0.7804878048780488,0.23616236162361623,32,198,9,946
0.39,0.14027149321266968,0.7560975609756098,0.2366412213740458,31,190,10,954
0.4,0.14285714285714285,0.7317073170731707,0.23904382470119523,30,180,11,964
0.41,0.1477832512315271,0.7317073170731707,0.2459016393442623,30,173,11,971
0.42,0.13705583756345177,0.6585365853658537,0.226890756302521,27,170,14,974
0.43,0.14361702127659576,0.6585365853658537,0.23580786026200873,27,161,14,983
0.44,0.14917127071823205,0.6585365853658537,0.24324324324324326,27,154,14,990
0.45,0.1511627906976744,0.6341463414634146,0.24413145539906103,26,146,15,998
0.46,0.15853658536585366,0.6341463414634146,0.25365853658536586,26,138,15,1006
0.47,0.15853658536585366,0.6341463414634146,0.25365853658536586,26,138,15,1006
0.48,0.16883116883116883,0.6341463414634146,0.26666666666666666,26,128,15,1016
0.49,0.17218543046357615,0.6341463414634146,0.2708333333333333,26,125,15,1019
0.5,0.1736111111111111,0.6097560975609756,0.2702702702702703,25,119,16,1025
0.51,0.17142857142857143,0.5853658536585366,0.26519337016574585,24,116,17,1028
0.52,0.17647058823529413,0.5853658536585366,0.2711864406779661,24,112,17,1032
0.53,0.17424242424242425,0.5609756097560976,0.2658959537572254,23,109,18,1035
0.54,0.1746031746031746,0.5365853658536586,0.2634730538922156,22,104,19,1040
0.55,0.1721311475409836,0.5121951219512195,0.25766871165644173,21,101,20,1043
0.56,0.175,0.5121951219512195,0.2608695652173913,21,99,20,1045
0.57,0.1794871794871795,0.5121951219512195,0.26582278481012656,21,96,20,1048
0.58,0.1834862385321101,0.4878048780487805,0.26666666666666666,20,89,21,1055
0.59,0.19047619047619047,0.4878048780487805,0.273972602739726,20,85,21,1059
0.6,0.18627450980392157,0.4634146341463415,0.26573426573426573,19,83,22,1061
0.61,0.19387755102040816,0.4634146341463415,0.2733812949640288,19,79,22,1065
0.62,0.20652173913043478,0.4634146341463415,0.2857142857142857,19,73,22,1071
0.63,0.2,0.4146341463414634,0.2698412698412698,17,68,24,1076
0.64,0.19753086419753085,0.3902439024390244,0.26229508196721313,16,65,25,1079
0.65,0.19480519480519481,0.36585365853658536,0.2542372881355932,15,62,26,1082
0.66,0.1891891891891892,0.34146341463414637,0.24347826086956523,14,60,27,1084
0.67,0.19444444444444445,0.34146341463414637,0.24778761061946902,14,58,27,1086
0.68,0.19117647058823528,0.3170731707317073,0.23853211009174313,13,55,28,1089
0.69,0.16666666666666666,0.24390243902439024,0.19801980198019803,10,50,31,1094
0.7,0.15789473684210525,0.21951219512195122,0.1836734693877551,9,48,32,1096
0.71,0.16666666666666666,0.21951219512195122,0.18947368421052632,9,45,32,1099
0.72,0.16326530612244897,0.1951219512195122,0.17777777777777778,8,41,33,1103
0.73,0.19047619047619047,0.1951219512195122,0.1927710843373494,8,34,33,1110
0.74,0.18421052631578946,0.17073170731707318,0.17721518987341772,7,31,34,1113
0.75,0.1875,0.14634146341463414,0.1643835616438356,6,26,35,1118
0.76,0.16666666666666666,0.12195121951219512,0.14084507042253522,5,25,36,1119
0.77,0.14814814814814814,0.0975609756097561,0.11764705882352941,4,23,37,1121
0.78,0.16666666666666666,0.0975609756097561,0.12307692307692308,4,20,37,1124
0.79,0.11764705882352941,0.04878048780487805,0.06896551724137931,2,15,39,1129
0.8,0.13333333333333333,0.04878048780487805,0.07142857142857142,2,13,39,1131
0.81,0.08333333333333333,0.024390243902439025,0.03773584905660377,1,11,40,1133
0.82,0.09090909090909091,0.024390243902439025,0.038461538461538464,1,10,40,1134
0.83,0.1111111111111111,0.024390243902439025,0.04,1,8,40,1136
0.84,0.125,0.024390243902439025,0.04081632653061224,1,7,40,1137
0.85,0.14285714285714285,0.024390243902439025,0.041666666666666664,1,6,40,1138
0.86,0.0,0.0,0.0,0,4,41,1140
0.87,0.0,0.0,0.0,0,3,41,1141
0.88,0.0,0.0,0.0,0,2,41,1142
0.89,0.0,0.0,0.0,0,1,41,1143
0.9,0.0,0.0,0.0,0,1,41,1143
0.91,0.0,0.0,0.0,0,0,41,1144
0.92,0.0,0.0,0.0,0,0,41,1144
0.93,0.0,0.0,0.0,0,0,41,1144
0.94,0.0,0.0,0.0,0,0,41,1144
0.95,0.0,0.0,0.0,0,0,41,1144
